"","Year","State","Electoral.Vote.of.each.State","Republican","Democratic","Winner"
"202",2012,"West Virginia",5,5,0,"Republican"
"203",2012,"Wisconsin",10,0,10,"Democratic"
"204",2012,"Wyoming",3,3,0,"Republican"
"205",2016,"Alabama",9,9,0,"Republican"
"206",2016,"Alaska",3,3,0,"Republican"
"207",2016,"Arizona",11,11,0,"Republican"
"208",2016,"Arkansas",6,6,0,"Republican"
"209",2016,"California",55,0,55,"Democratic"
"210",2016,"Colorado",9,0,9,"Democratic"
"211",2016,"Connecticut",7,0,7,"Democratic"
"212",2016,"Delaware",3,0,3,"Democratic"
"213",2016,"District of Columbia",3,0,3,"Democratic"
"214",2016,"Florida",29,29,0,"Republican"
"215",2016,"Georgia",16,16,0,"Republican"
"216",2016,"Hawaii",4,0,3,"Democratic"
"217",2016,"Idaho",4,4,0,"Republican"
"218",2016,"Illinois",20,0,20,"Democratic"
"219",2016,"Indiana",11,11,0,"Republican"
"220",2016,"Iowa",6,6,0,"Republican"
"221",2016,"Kansas",6,6,0,"Republican"
"222",2016,"Kentucky",8,8,0,"Republican"
"223",2016,"Louisiana",8,8,0,"Republican"
"224",2016,"Maine",4,1,3,"Democratic"
"225",2016,"Maryland",10,0,10,"Democratic"
"226",2016,"Massachusetts",11,0,11,"Democratic"
"227",2016,"Michigan",16,16,0,"Republican"
"228",2016,"Minnesota",10,0,10,"Democratic"
"229",2016,"Mississippi",6,6,0,"Republican"
"230",2016,"Missouri",10,10,0,"Republican"
"231",2016,"Montana",3,3,0,"Republican"
"232",2016,"Nebraska",5,5,0,"Republican"
"233",2016,"Nevada",6,0,6,"Democratic"
"234",2016,"New Hampshire",4,0,4,"Democratic"
"235",2016,"New Jersey",14,0,14,"Democratic"
"236",2016,"New Mexico",5,0,5,"Democratic"
"237",2016,"New York",29,0,29,"Democratic"
"238",2016,"North Carolina",15,15,0,"Republican"
"239",2016,"North Dakota",3,3,0,"Republican"
"240",2016,"Ohio",18,18,0,"Republican"
"241",2016,"Oklahoma",7,7,0,"Republican"
"242",2016,"Oregon",7,0,7,"Democratic"
"243",2016,"Pennsylvania",20,20,0,"Republican"
"244",2016,"Rhode Island",4,0,4,"Democratic"
"245",2016,"South Carolina",9,9,0,"Republican"
"246",2016,"South Dakota",3,3,0,"Republican"
"247",2016,"Tennessee",11,11,0,"Republican"
"248",2016,"Texas",38,36,0,"Republican"
"249",2016,"Utah",6,6,0,"Republican"
"250",2016,"Vermont",3,0,3,"Democratic"
"251",2016,"Virginia",13,0,13,"Democratic"
"252",2016,"Washington",12,0,8,"Democratic"
"253",2016,"West Virginia",5,5,0,"Republican"
"254",2016,"Wisconsin",10,10,0,"Republican"
"255",2016,"Wyoming",3,3,0,"Republican"
"256",2020,"Alabama",9,9,0,"Republican"
"257",2020,"Alaska",3,3,0,"Republican"
"258",2020,"Arizona",11,0,11,"Democratic"
"259",2020,"Arkansas",6,6,0,"Republican"
"260",2020,"California",55,0,55,"Democratic"
"261",2020,"Colorado",9,0,9,"Democratic"
"262",2020,"Connecticut",7,0,7,"Democratic"
"263",2020,"Delaware",3,0,3,"Democratic"
"264",2020,"District of Columbia",3,0,3,"Democratic"
"265",2020,"Florida",29,29,0,"Republican"
"266",2020,"Georgia",16,0,16,"Democratic"
"267",2020,"Hawaii",4,0,4,"Democratic"
"268",2020,"Idaho",4,4,0,"Republican"
"269",2020,"Illinois",20,0,20,"Democratic"
"270",2020,"Indiana",11,11,0,"Republican"
"271",2020,"Iowa",6,6,0,"Republican"
"272",2020,"Kansas",6,6,0,"Republican"
"273",2020,"Kentucky",8,8,0,"Republican"
"274",2020,"Louisiana",8,8,0,"Republican"
"275",2020,"Maine",4,1,3,"Democratic"
"276",2020,"Maryland",10,0,10,"Democratic"
"277",2020,"Massachusetts",11,0,11,"Democratic"
"278",2020,"Michigan",16,0,16,"Democratic"
"279",2020,"Minnesota",10,0,10,"Democratic"
"280",2020,"Mississippi",6,6,0,"Republican"
"281",2020,"Missouri",10,10,0,"Republican"
"282",2020,"Montana",3,3,0,"Republican"
"283",2020,"Nebraska",5,4,1,"Republican"
"284",2020,"Nevada",6,0,6,"Democratic"
"285",2020,"New Hampshire",4,0,4,"Democratic"
"286",2020,"New Jersey",14,0,14,"Democratic"
"287",2020,"New Mexico",5,0,5,"Democratic"
"288",2020,"New York",29,0,29,"Democratic"
"289",2020,"North Carolina",15,15,0,"Republican"
"290",2020,"North Dakota",3,3,0,"Republican"
"291",2020,"Ohio",18,18,0,"Republican"
"292",2020,"Oklahoma",7,7,0,"Republican"
"293",2020,"Oregon",7,0,7,"Democratic"
"294",2020,"Pennsylvania",20,0,20,"Democratic"
"295",2020,"Rhode Island",4,0,4,"Democratic"
"296",2020,"South Carolina",9,9,0,"Republican"
"297",2020,"South Dakota",3,3,0,"Republican"
"298",2020,"Tennessee",11,11,0,"Republican"
"299",2020,"Texas",38,38,0,"Republican"
"300",2020,"Utah",6,6,0,"Republican"
"301",2020,"Vermont",3,0,3,"Democratic"
"302",2020,"Virginia",13,0,13,"Democratic"
"303",2020,"Washington",12,0,12,"Democratic"
"304",2020,"West Virginia",5,5,0,"Republican"
"305",2020,"Wisconsin",10,0,10,"Democratic"
"306",2020,"Wyoming",3,3,0,"Republican"
